idx,x,y,z
339,0.9645524,-1.0268663,3.7203236
340,1.2343163,-0.95996886,3.612175
341,1.2361963,-0.96124995,3.6149383
342,1.236976,-0.9621512,3.615221
343,1.2381824,-0.95982724,3.6175637
344,1.2413843,-0.9704876,3.625486
345,0.96656835,-1.0422242,3.727316
346,1.2407442,-0.96595895,3.6225019
347,1.2409322,-0.961759,3.6229546
348,1.232399,-0.95616215,3.609291
349,1.2339804,-0.96820056,3.613158
350,1.2345667,-0.9667845,3.6116223
351,1.232943,-0.97172886,3.6081867
352,1.2337244,-0.9683183,3.610785
353,1.2350774,-0.96435165,3.6133485
354,1.2350972,-0.964038,3.6122682
355,0.9610212,-1.0127506,3.701706
356,1.2337509,-0.9657379,3.6114302
357,1.2356951,-0.9593354,3.6146615
358,0.96657467,-1.0334908,3.7238839
359,1.2368298,-0.96171135,3.6156063
360,1.2342728,-0.9663101,3.6119223
361,1.237503,-0.9628096,3.6207907
362,1.229423,-0.9559898,3.605864
363,1.2313313,-0.984791,3.6055536
364,1.2277552,-0.9725472,3.5974202
365,1.2291558,-0.98194206,3.5978909
366,0.96952766,-1.0317931,3.7304459
367,1.2352462,-0.96767163,3.6082153
368,1.2345189,-0.9649504,3.6067142
369,1.2292733,-0.95179707,3.601881
370,1.2331958,-0.9656712,3.6074126
371,1.2312596,-0.9644922,3.603782
372,0.97176504,-1.0322895,3.7287576
373,0.9734438,-1.0327219,3.7327237
374,1.2303679,-0.9722928,3.604144
375,1.2274139,-0.9806955,3.5998926
376,0.96257144,-1.0261084,3.716658
377,0.9584561,-1.0325089,3.7235389
378,0.6589532,-0.77746946,1.96748
379,0.9238282,-0.7386706,1.7720003
380,0.6601112,-0.7752119,1.9637889
381,0.923571,-0.732708,1.7760572
382,0.6606511,-0.77264464,1.9616586
383,0.9241663,-0.73217213,1.7759472
384,0.66116357,-0.7709308,1.9608748
385,0.92459714,-0.7320008,1.7746743
386,0.6608837,-0.77118194,1.9606657
387,0.9237051,-0.73305345,1.7734503
388,0.65952295,-0.77177143,1.9613045
389,0.9213558,-0.73313963,1.7740351
390,0.6532804,-0.7721204,1.9639151
391,0.9143124,-0.7302456,1.7765844
392,0.65176606,-0.77147716,1.9639083
393,0.9131593,-0.72733915,1.7767619
394,0.6490464,-0.7711052,1.9642346
395,0.909586,-0.7253611,1.7780974
396,0.6487276,-0.7719474,1.9638505
397,0.9099624,-0.7250526,1.7776601
398,0.6633198,-0.7803022,1.9587095
399,0.9254756,-0.7374717,1.7705649
400,0.6628147,-0.78234005,1.9593267
401,0.92465615,-0.73899937,1.770785
402,0.6612146,-0.78083616,1.9591954
403,0.9232259,-0.7389313,1.7710898
404,0.66086894,-0.7801296,1.9589288
405,0.9235152,-0.7387421,1.7708766
406,0.6613781,-0.7800308,1.9587954
407,0.9241357,-0.7387854,1.7705588
408,0.6614202,-0.7800291,1.958656
409,0.9242972,-0.7391611,1.7704339
410,0.6605353,-0.7817115,1.9584665
411,0.9235471,-0.7397042,1.7705941
412,0.6604274,-0.7818346,1.9581664
413,0.9233213,-0.7395094,1.7703229
414,0.660515,-0.78269726,1.9582655
415,0.9229841,-0.7389964,1.7700408
416,0.6604262,-0.782392,1.9579594
417,0.922617,-0.73871714,1.7698705
418,0.66008335,-0.78029644,1.9573004
